Timestamp,Event,Value
2026-02-16 15:45:01.296300,Drowsiness,0.03309701374388205
2026-02-16 15:45:03.791061,Yawning,0.6473693975849186
2026-02-16 15:45:03.822561,Yawning,0.7218653828321863
2026-02-16 15:45:03.859506,Yawning,0.7260241808033058
2026-02-16 15:45:03.903462,Yawning,0.8615257860564131
2026-02-16 15:45:03.917911,Yawning,0.8615257860564131
2026-02-16 15:45:03.933933,Yawning,0.986097842803762
2026-02-16 15:45:03.967236,Yawning,1.0599978800063599
2026-02-16 15:45:04.000594,Yawning,1.0918492714018149
2026-02-16 15:45:04.030768,Yawning,1.1487002198667635
2026-02-16 15:45:04.062626,Yawning,1.2695529551311961
2026-02-16 15:45:04.128399,Yawning,1.3392308710012237
2026-02-16 15:45:04.159282,Yawning,1.3264528352651694
2026-02-16 15:45:04.190134,Yawning,1.2297802854826538
2026-02-16 15:45:04.224803,Yawning,1.2898769117501123
2026-02-16 15:45:04.270707,Yawning,1.3264528352651694
2026-02-16 15:45:04.291538,Yawning,1.316064642709791
2026-02-16 15:45:04.307987,Yawning,1.360683242324107
2026-02-16 15:45:04.339654,Yawning,1.3708794056471874
2026-02-16 15:45:04.369472,Yawning,1.2797751656678114
2026-02-16 15:45:04.396876,Yawning,1.360683242324107
2026-02-16 15:45:04.431156,Yawning,1.3513918554400133
2026-02-16 15:45:04.465963,Yawning,1.3209844813622906
2026-02-16 15:45:04.526608,Yawning,1.3046460668331996
2026-02-16 15:45:04.558803,Yawning,1.270566287031267
2026-02-16 15:45:04.591058,Yawning,1.229159217971491
2026-02-16 15:45:04.641307,Yawning,1.2043032924987482
2026-02-16 15:45:04.666438,Yawning,1.3256298237849897
2026-02-16 15:45:04.682968,Yawning,1.2984244453446092
2026-02-16 15:45:04.701290,Yawning,1.1787152294294831
2026-02-16 15:45:04.737232,Yawning,1.0958351613516975
2026-02-16 15:45:04.767314,Yawning,1.1224870578242299
2026-02-16 15:45:04.805030,Yawning,1.0295630140987
2026-02-16 15:45:04.834349,Yawning,0.7656414934887764
2026-02-16 15:45:05.790208,Drowsiness,0.023596458909150436
2026-02-16 15:45:07.408829,Yawning,0.6087540783733164
2026-02-16 15:45:07.439152,Yawning,0.7235359517703825
2026-02-16 15:45:07.473467,Yawning,0.7388815506872166
2026-02-16 15:45:07.508487,Yawning,0.7235359517703825
2026-02-16 15:45:07.536338,Yawning,0.6508340077626379
2026-02-16 15:45:08.240305,Drowsiness,0.12641262373680234
2026-02-16 16:27:18.556204,Drowsiness,0.020762867837185263
2026-02-16 16:27:19.388803,Drowsiness,0.04020201363405257
2026-02-16 16:27:20.862343,Yawning,0.6452734430388106
2026-02-16 16:27:20.892955,Yawning,0.7601514248353715
2026-02-16 16:27:20.926743,Yawning,0.7870559151513065
2026-02-16 16:27:20.961684,Yawning,0.8891666232774469
2026-02-16 16:27:20.990646,Yawning,0.977536440546463
2026-02-16 16:27:21.020996,Yawning,1.06380177107617
2026-02-16 16:27:21.051911,Yawning,1.1523789809303104
2026-02-16 16:27:21.084188,Yawning,1.1922489979678212
2026-02-16 16:27:21.133591,Yawning,1.1964424265927838
2026-02-16 16:27:21.162776,Yawning,1.2175853882556908
2026-02-16 16:27:21.201631,Yawning,1.1276050783273739
2026-02-16 16:27:21.231927,Yawning,1.1488731445474925
2026-02-16 16:27:21.261237,Yawning,1.3340738684269897
2026-02-16 16:27:21.290649,Yawning,1.1914096749542789
2026-02-16 16:27:21.324697,Yawning,1.1497239222218125
2026-02-16 16:27:21.357864,Yawning,1.1310033752649247
2026-02-16 16:27:21.391363,Yawning,1.1282068421761284
2026-02-16 16:27:21.419960,Yawning,1.0193808808250688
2026-02-16 16:27:21.455710,Yawning,0.9997918184634463
2026-02-16 16:27:21.500884,Yawning,1.0622694977736191
2026-02-16 16:27:21.532260,Yawning,0.9375280183810284
2026-02-16 16:27:21.563842,Yawning,0.8946296187927081
2026-02-16 16:27:21.597656,Yawning,0.8915694197569511
2026-02-16 16:27:21.631392,Yawning,0.7882049025004804
2026-02-16 16:27:21.660471,Yawning,0.7372404844158548
2026-02-16 16:27:21.691946,Yawning,0.703256806399061
2026-02-16 16:27:21.728265,Yawning,0.6089897886205645
2026-02-16 16:27:24.830998,Drowsiness,0.09654532437558701
2026-02-16 16:35:22.464896,Drowsiness,0.13533774355657285
2026-02-16 16:35:23.203732,Drowsiness,0.06834818845764745
2026-02-16 16:35:25.939019,Drowsiness,0.11278151918305047
2026-02-17 14:13:51.129319,Drowsiness,0.01923872336805147
2026-02-17 14:13:53.495391,Yawning,0.6448796273579581
2026-02-17 14:13:53.535120,Yawning,0.6842060588992783
2026-02-17 14:13:53.562680,Yawning,0.7033815289167317
2026-02-17 14:13:53.608206,Yawning,0.7220070967709463
2026-02-17 14:13:53.642997,Yawning,0.7426384772872676
2026-02-17 14:13:53.673925,Yawning,0.7834570223539015
2026-02-17 14:13:53.706419,Yawning,0.7868304058077411
2026-02-17 14:13:53.735114,Yawning,0.7588563709323233
2026-02-17 14:13:53.771337,Yawning,0.7611450045527326
2026-02-17 14:13:53.801794,Yawning,0.7704902156509147
2026-02-17 14:13:53.832132,Yawning,0.7714484709705709
2026-02-17 14:13:53.865583,Yawning,0.7611450045527326
2026-02-17 14:13:53.896077,Yawning,0.7588563709323233
2026-02-17 14:13:53.930689,Yawning,0.7119335046677415
2026-02-17 14:13:53.963533,Yawning,0.6692696637561248
2026-02-17 14:14:01.161682,Drowsiness,0.17112270190770312
